epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,343.673,1.61692,2.83224,1.59178,0.31204,0.27758,0.23468,0.11259,1.79227,3.0162,1.63617,0.000298792,0.000298792,0.000298792
2,688.934,1.58022,1.93919,1.51061,0.41881,0.31303,0.30769,0.14663,1.87876,2.71405,1.75199,0.000589876,0.000589876,0.000589876
3,1027.5,1.60165,1.88727,1.50744,0.41766,0.37225,0.31397,0.13822,1.86425,2.41413,1.74527,0.000868962,0.000868962,0.000868962
4,1357.23,1.56749,1.77182,1.51301,0.51278,0.37065,0.37832,0.18842,1.77676,2.20696,1.6992,0.000855005,0.000855005,0.000855005
5,1770.62,1.5601,1.72923,1.49489,0.4467,0.34101,0.32991,0.14847,1.87421,2.32411,1.71601,0.000837007,0.000837007,0.000837007
