epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1905.6,1.60814,2.54742,1.56518,0.46676,0.32666,0.31014,0.13747,1.89035,2.41375,1.735,0.000298792,0.000298792,0.000298792
2,3141.07,1.56438,1.63722,1.49592,0.4242,0.35303,0.33892,0.15836,1.90966,2.65159,1.80504,0.000596827,0.000596827,0.000596827
3,4202.77,1.59183,1.65303,1.5103,0.3794,0.35851,0.29593,0.13104,1.94529,2.56798,1.84477,0.000889863,0.000889863,0.000889863
4,5045.47,1.60599,1.59602,1.52636,0.47035,0.30428,0.2965,0.13598,1.9529,2.2072,1.79066,0.000886502,0.000886502,0.000886502
5,5913.49,1.59497,1.61924,1.52119,0.45127,0.35607,0.33784,0.15341,1.9237,2.15047,1.80765,0.000879003,0.000879003,0.000879003
