epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,741.984,1.61692,2.83224,1.59178,0.31204,0.27758,0.23468,0.11259,1.79227,3.0162,1.63617,0.000298792,0.000298792,0.000298792
2,1315.92,1.58022,1.93919,1.51061,0.41881,0.31303,0.30769,0.14663,1.87876,2.71405,1.75199,0.000589876,0.000589876,0.000589876
3,1860.92,1.60165,1.88727,1.50744,0.41766,0.37225,0.31397,0.13822,1.86425,2.41413,1.74527,0.000868962,0.000868962,0.000868962
4,2370.18,1.56749,1.77182,1.51301,0.51278,0.37065,0.37832,0.18842,1.77676,2.20696,1.6992,0.000855005,0.000855005,0.000855005
5,2857.64,1.5601,1.72923,1.49489,0.4467,0.34101,0.32991,0.14847,1.87421,2.32411,1.71601,0.000837007,0.000837007,0.000837007
6,3379.2,1.51859,1.62523,1.4648,0.41172,0.32286,0.28989,0.12926,1.87974,2.4207,1.79832,0.000819009,0.000819009,0.000819009
7,3860.37,1.52486,1.59613,1.46157,0.51658,0.35307,0.38407,0.18215,1.82701,2.06494,1.68469,0.000801011,0.000801011,0.000801011
8,4449.46,1.50444,1.55523,1.43966,0.4769,0.36899,0.37122,0.17558,1.84169,2.1528,1.74893,0.000783013,0.000783013,0.000783013
9,5390.09,1.47479,1.53141,1.429,0.55046,0.38439,0.38556,0.18991,1.78717,2.04069,1.69096,0.000765014,0.000765014,0.000765014
10,5943.19,1.46464,1.483,1.42254,0.5517,0.37567,0.39752,0.19711,1.78015,2.00277,1.70909,0.000747016,0.000747016,0.000747016
11,6384.4,1.46112,1.4458,1.40901,0.52283,0.33531,0.36026,0.18166,1.8049,2.05401,1.71389,0.000729018,0.000729018,0.000729018
12,7372.48,1.4413,1.42758,1.40105,0.5238,0.40647,0.4034,0.19875,1.77251,1.93636,1.67573,0.00071102,0.00071102,0.00071102
13,8020.52,1.42456,1.40495,1.39371,0.57335,0.41076,0.43096,0.21327,1.74089,1.89147,1.61215,0.000693022,0.000693022,0.000693022
14,8580.17,1.41141,1.33723,1.37267,0.50795,0.37732,0.38583,0.19278,1.77155,2.00309,1.70211,0.000675023,0.000675023,0.000675023
15,8982.9,1.40275,1.35721,1.38643,0.51981,0.41758,0.41768,0.21219,1.76351,1.90095,1.6824,0.000657025,0.000657025,0.000657025
16,9317.62,1.40413,1.31293,1.36798,0.57955,0.37744,0.4026,0.19766,1.80267,2.00222,1.69961,0.000639027,0.000639027,0.000639027
17,9681.32,1.36884,1.30345,1.35485,0.57584,0.36868,0.40679,0.20354,1.78495,1.96881,1.66257,0.000621029,0.000621029,0.000621029
18,10015.7,1.38591,1.3248,1.35499,0.54945,0.42356,0.42192,0.20593,1.78752,1.94413,1.66404,0.000603031,0.000603031,0.000603031
19,10355.3,1.38589,1.28669,1.34483,0.52139,0.42119,0.41151,0.21573,1.71122,1.91366,1.62904,0.000585032,0.000585032,0.000585032
20,10694.7,1.35418,1.2669,1.33314,0.57506,0.40844,0.42221,0.20572,1.80032,1.93156,1.68587,0.000567034,0.000567034,0.000567034
21,11019,1.35462,1.2622,1.33767,0.54686,0.37757,0.38519,0.19462,1.78139,2.10776,1.65848,0.000549036,0.000549036,0.000549036
22,11359.2,1.34775,1.22753,1.33612,0.51604,0.42899,0.42383,0.22004,1.75507,1.88612,1.65259,0.000531038,0.000531038,0.000531038
23,11698.8,1.33272,1.2372,1.32382,0.61839,0.42924,0.45841,0.2299,1.72999,1.81701,1.6086,0.00051304,0.00051304,0.00051304
24,12027.1,1.30314,1.17181,1.29764,0.57174,0.39853,0.41892,0.20693,1.79314,1.91324,1.67179,0.000495041,0.000495041,0.000495041
25,12376,1.31495,1.16555,1.29779,0.59307,0.39964,0.42461,0.21917,1.75843,1.85014,1.61503,0.000477043,0.000477043,0.000477043
26,12703.7,1.2898,1.16644,1.30499,0.63718,0.38955,0.42866,0.22184,1.76509,1.90998,1.64173,0.000459045,0.000459045,0.000459045
27,13039.1,1.27983,1.15128,1.28363,0.59301,0.40247,0.43816,0.22709,1.7513,1.78195,1.62461,0.000441047,0.000441047,0.000441047
28,13372.2,1.27753,1.1215,1.29821,0.59695,0.41112,0.43563,0.21471,1.77421,1.85938,1.65401,0.000423049,0.000423049,0.000423049
29,13696.1,1.2637,1.11391,1.28906,0.59815,0.39753,0.42396,0.21112,1.82664,1.91471,1.70115,0.00040505,0.00040505,0.00040505
30,14021.2,1.27647,1.0945,1.27135,0.59172,0.4285,0.45433,0.22718,1.76378,1.79169,1.63806,0.000387052,0.000387052,0.000387052
31,14345,1.24148,1.06701,1.25314,0.60344,0.42244,0.44955,0.22414,1.80831,1.80909,1.68258,0.000369054,0.000369054,0.000369054
32,14672.4,1.25423,1.06587,1.26912,0.64214,0.40467,0.448,0.22364,1.81794,1.83697,1.66977,0.000351056,0.000351056,0.000351056
33,14996.3,1.25516,1.07148,1.27181,0.63801,0.40289,0.44745,0.2253,1.79112,1.84051,1.6531,0.000333058,0.000333058,0.000333058
34,15320.7,1.23636,1.04877,1.24695,0.60961,0.41894,0.45085,0.22467,1.77878,1.77556,1.64089,0.000315059,0.000315059,0.000315059
35,15644.6,1.20941,1.02998,1.25429,0.65666,0.42573,0.46059,0.23261,1.78999,1.82881,1.66578,0.000297061,0.000297061,0.000297061
36,15969.5,1.19221,1.00657,1.23633,0.61653,0.42615,0.45566,0.22188,1.8019,1.80902,1.68106,0.000279063,0.000279063,0.000279063
37,16292.5,1.18932,1.00586,1.22967,0.60646,0.41253,0.43928,0.22507,1.79807,1.87864,1.67384,0.000261065,0.000261065,0.000261065
38,16615.7,1.17697,0.97771,1.22495,0.61856,0.41193,0.44256,0.22361,1.79547,1.84338,1.66341,0.000243067,0.000243067,0.000243067
39,16932.6,1.19862,0.97908,1.23832,0.61085,0.4222,0.44369,0.22335,1.81555,1.84877,1.6832,0.000225068,0.000225068,0.000225068
40,17246.9,1.17228,0.95169,1.20901,0.64263,0.41875,0.45933,0.23609,1.77852,1.8173,1.6434,0.00020707,0.00020707,0.00020707
41,17602.3,1.20293,0.98135,1.22566,0.63211,0.42043,0.44427,0.22562,1.78366,1.78923,1.67152,0.000189072,0.000189072,0.000189072
42,18084.2,1.14877,0.90605,1.19738,0.63838,0.41386,0.44151,0.22134,1.80234,1.81364,1.68341,0.000171074,0.000171074,0.000171074
43,18999.5,1.14366,0.88438,1.19037,0.64327,0.41975,0.45562,0.23029,1.81186,1.7867,1.69442,0.000153076,0.000153076,0.000153076
44,19324.5,1.12717,0.85742,1.17596,0.58543,0.43429,0.44987,0.22626,1.81768,1.82593,1.70795,0.000135077,0.000135077,0.000135077
45,19631,1.11224,0.84611,1.17128,0.6053,0.43355,0.44639,0.22456,1.82557,1.80185,1.71671,0.000117079,0.000117079,0.000117079
46,19962.4,1.08843,0.82444,1.16327,0.63612,0.41045,0.44885,0.22475,1.82497,1.80713,1.71492,9.9081e-05,9.9081e-05,9.9081e-05
47,20314.2,1.09875,0.82619,1.16113,0.63445,0.42538,0.44922,0.22635,1.82313,1.80225,1.71263,8.10828e-05,8.10828e-05,8.10828e-05
48,20638.9,1.08657,0.80685,1.16059,0.64313,0.41433,0.43782,0.22299,1.81897,1.82098,1.71022,6.30846e-05,6.30846e-05,6.30846e-05
49,20982.2,1.08041,0.79617,1.14648,0.61786,0.42908,0.44299,0.22333,1.82215,1.82657,1.7088,4.50864e-05,4.50864e-05,4.50864e-05
50,21334.5,1.08074,0.79185,1.14633,0.6302,0.42129,0.43902,0.22085,1.82816,1.83528,1.71145,2.70882e-05,2.70882e-05,2.70882e-05
